region,province,province_code,district_name,district,district_code,settlement,settlement_name,pop_group,X,Y,surveys,distinct_settlements
Northern,Faryab,AF29,almar,Almar,AF2904,Ajrem Aumay,ajrem_aumay,all_non_displaced,64.46401,35.97871,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Aow Buz Bala,aow_buz_bala,all_non_displaced,64.60425437,35.57862558,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Aq Masjid/ Aurteq Payin,aq_masjid/_aurteq_payin,all_non_displaced,64.5323,35.61262,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Arteq Bala,arteq_bala,all_non_displaced,64.50361,35.80278,16,1
Northern,Faryab,AF29,almar,Almar,AF2904,Asigh Chashma Shor Khan,asigh_chashma_shor_khan,all_non_displaced,64.54274623,35.6064283,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Bad Bad Afghaniyah,bad_bad_afghaniyah,all_non_displaced,64.39483447,35.90698994,8,1
Northern,Faryab,AF29,almar,Almar,AF2904,Bori Shor Khan,bori_shor_khan,all_non_displaced,64.61676101,35.68522562,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Bukhari Qalah Namay,bukhari_qalah_namay,all_non_displaced,64.44591403,35.89330108,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Chaghtak,chaghtak,all_non_displaced,64.5823,35.881,12,1
Northern,Faryab,AF29,almar,Almar,AF2904,Dabaashi,dabaashi,all_non_displaced,64.58655,35.57897,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Dewana Khana,dewana_khana,all_non_displaced,64.5083,35.8446,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Don Qala,don_qala,all_non_displaced,64.523,35.8355,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Ghalbala Arabia,ghalbala_arabia,all_non_displaced,64.46896525,36.01682256,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Ghalbala Khoshdail,ghalbala_khoshdail,all_non_displaced,64.46419898,35.97292008,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Gow Jan,gow_jan,all_non_displaced,64.53620589,35.52141616,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Halwakhor Bala,halwakhor_bala,all_non_displaced,64.65314107,35.63136469,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Hazara Qeshlaq,hazara_qeshlaq,all_non_displaced,64.5345,35.836,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Hotaki,hotaki,all_non_displaced,64.37861605,35.89951041,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Kaldari,kaldari,all_non_displaced,64.54953,35.59102,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Khwaja Zangi Ghalbala,khwaja_zangi_ghalbala,all_non_displaced,64.3893748,35.97995441,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Kol,kol,all_non_displaced,64.2667,35.8479,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Mirzaha,mirzaha,all_non_displaced,64.6132,35.55842,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Namanzaee,namanzaee,all_non_displaced,64.23889,35.95056,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Petabak,petabak,all_non_displaced,64.44127,35.97573,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Qara Ghouily,qara_ghouily,all_non_displaced,64.50965303,35.8114199,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Qashqa Bala,qashqa_bala,all_non_displaced,64.58605226,35.67625378,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Shoran/ Shaikhan,shoran/_shaikhan,all_non_displaced,64.55916105,35.83760667,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Sofi Abdal,sofi_abdal,all_non_displaced,64.60787438,35.68661133,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Tayghal Dallan,tayghal_dallan,all_non_displaced,64.51178077,35.52326975,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Toor Khel,toor_khel,all_non_displaced,64.35595906,35.96819412,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Turbat,turbat,all_non_displaced,64.4701,35.8861,4,1
Northern,Faryab,AF29,almar,Almar,AF2904,Yaka Khana,yaka_khana,all_non_displaced,64.53335454,35.75767695,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Bazar Qala,bazar_qala,all_non_displaced,64.9032,36.3661,8,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Chaman Qeshlaq,chaman_qeshlaq,all_non_displaced,64.90937333,36.37750247,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Chigh Tay,chigh_tay,all_non_displaced,64.924983,36.44085,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Jaar Qala,jaar_qala,all_non_displaced,64.902,36.3308,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Kharab Char Shaghnow,kharab_char_shaghnow,all_non_displaced,64.8987,36.4538,8,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Kheyrabad,kheyrabad,all_non_displaced,64.8868,36.3751,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Kocha Qala,kocha_qala,all_non_displaced,64.9092,36.3657,8,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Mahdan Shaikh Ha,mahdan_shaikh_ha,all_non_displaced,64.91725078,36.509628,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Majeed Quduq,majeed_quduq,all_non_displaced,65.35965,36.57257,4,1
Northern,Faryab,AF29,dawlat_abad,Dawlat Abad,AF2909,Mohajeren-E- Quraish,mohajeren_e__quraish,all_non_displaced,64.92509574,36.43649759,4,1
