research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,major_events,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,livestock_impact,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,livestock_impact_how,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,agricultural_impact,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,agricultural_impact_how,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,fcs_category,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,hhs_category,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,food_source,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,fsac_severity,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,final_displacement_status_non_displ,categorical,fsac_sev_high,categorical,direct_reporting,
