research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,nut_severity,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,nut_sev_high,categorical,direct_reporting,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,urban_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,urban_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_sex_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_sex_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_elderly_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_elderly_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_disabled_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_disabled_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,tazkira_disagg2,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,tazkira_disagg2,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_debt_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,hoh_debt_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,province_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,province_disagg,categorical,nut_sev_high,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,region_disagg,categorical,nut_severity,categorical,group_difference,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,region_disagg,categorical,nut_sev_high,categorical,group_difference,
