list_name,name,label::English,label::Dari,label::Pashto,region,province,district,factors,filter
organisation_list,area,AREA,AREA,AREA,,,,,
organisation_list,ohw,OHW,OHW,OHW,,,,,
organisation_list,ord,ORD,ORD,ORD,,,,,
organisation_list,aoad,AOAD,AOAD,AOAD,,,,,
organisation_list,ncro,NCRO,NCRO,NCRO,,,,,
organisation_list,ahdaa,AHDAA,AHDAA,AHDAA,,,,,
organisation_list,raada,RAADA,RAADA,RAADA,,,,,
organisation_list,adeo,ADEO,ADEO,ADEO,,,,,
organisation_list,reach,REACH,REACH,REACH,,,,,
organisation_list,other,Other (please specify),???? (???? ?????),??? ???? ?? ???,,,,,
,,,,,,,,,
region_list,north_eastern,North Eastern,???? ????,???? ????,,,,,
region_list,western,Western,????,??????,,,,,
region_list,northern,Northern,?????,????,,,,,
region_list,central,Central,?????,????? ,,,,,
region_list,south_eastern,South Eastern,???? ????,???? ????/???? ????,,,,,
region_list,southern,Southern,?????,????/????,,,,,
region_list,eastern,Eastern,????,????,,,,,
,,,,,,,,,
province_list,badakhshan,Badakhshan,??????,??????,north_eastern,,,,
province_list,badghis,Badghis,??????,??????,western,,,,
province_list,baghlan,Baghlan,?????,?????,north_eastern,,,,
province_list,balkh,Balkh,???,???,northern,,,,
province_list,bamyan,Bamyan,??????,??????,central,,,,
province_list,daykundi,Daykundi,???????,???????,central,,,,
province_list,farah,Farah,????,????,western,,,,
province_list,faryab,Faryab,??????,??????,northern,,,,
province_list,ghazni,Ghazni,????,????,south_eastern,,,,
province_list,ghor,Ghor,???,???,western,,,,
province_list,helmand,Helmand,?????,?????,southern,,,,
province_list,herat,Herat,????,????,western,,,,
province_list,jawzjan,Jawzjan,??????,??????,northern,,,,
province_list,kabul,Kabul,????,????,central,,,,
province_list,kandahar,Kandahar,??????,??????,southern,,,,
province_list,kapisa,Kapisa,??????,??????,central,,,,
province_list,khost,Khost,????,????,south_eastern,,,,
province_list,kunar,Kunar,???,???,eastern,,,,
province_list,kunduz,Kunduz,????,????,north_eastern,,,,
province_list,laghman,Laghman,?????,?????,eastern,,,,
province_list,logar,Logar,????,????,central,,,,
province_list,maidan_wardak,Maidan Wardak,????? ????,????? ????,central,,,,
province_list,nangarhar,Nangarhar,???????,???????,eastern,,,,
province_list,nimroz,Nimroz,??????,??????,southern,,,,
province_list,nuristan,Nuristan,???????,???????,eastern,,,,
province_list,paktika,Paktika,??????,??????,south_eastern,,,,
province_list,paktya,Paktya,?????,?????,south_eastern,,,,
province_list,panjsher,Panjsher,??????,??????,central,,,,
province_list,parwan,Parwan,?????,?????,central,,,,
province_list,samangan,Samangan,??????,??????,northern,,,,
province_list,sar_e_pul,Sar-e-Pul,????,????,northern,,,,
province_list,takhar,Takhar,????,????,north_eastern,,,,
province_list,uruzgan,Uruzgan,??????,??????,southern,,,,
province_list,zabul,Zabul,????,????,southern,,,,
,,,,,,,,,
district_list,argo,Argo,????,????,,badakhshan,,,
district_list,baharak_badakhshan,Baharak Badakhshan,????? (??????),????? (??????),,badakhshan,,,
district_list,darayem,Darayem,?????,?????,,badakhshan,,,
district_list,faiz_abad_badakhshan,Faiz Abad (Badakhshan),??? ???? (??????),??? ???? (??????),,badakhshan,,,
district_list,jorm,Jorm,???,???,,badakhshan,,,
district_list,keshem,Keshem,???,???,,badakhshan,,,
district_list,khash,Khash,???,???,,badakhshan,,,
district_list,kofab,Kofab,??? ??,??? ??,,badakhshan,,,
district_list,raghestan,Raghestan,???????,???????,,badakhshan,,,
district_list,shahr_e_buzorg,Shahr-e-Buzorg,??? ????,??? ????,,badakhshan,,,
district_list,shaki,Shaki,???,???,,badakhshan,,,
district_list,shighnan,Shighnan,?????,?????,,badakhshan,,,
district_list,shuhada,Shuhada,????,????,,badakhshan,,,
district_list,teshkan,Teshkan,?????,?????,,badakhshan,,,
district_list,ab_kamari,Ab Kamari,?? ????,?? ????,,badghis,,,
district_list,muqur_badghis,Muqur (Badghis),??? (??????),??? (??????),,badghis,,,
district_list,qadis,Qadis,????,????,,badghis,,,
district_list,qala_e_naw,Qala-e-Naw,???? ??,???? ??,,badghis,,,
district_list,baghlan_e_jadid,Baghlan-e-Jadid,????? ????,????? ????,,baghlan,,,
district_list,burka,Burka,?????,?????,,baghlan,,,
district_list,doshi,Doshi,????,????,,baghlan,,,
district_list,khinjan,Khinjan,?????,?????,,baghlan,,,
district_list,khost_wa_fereng,Khost Wa Fereng,???? ?????,???? ?????,,baghlan,,,
district_list,khwaja_hejran,Khwaja Hejran,????? ?????,????? ?????,,baghlan,,,
district_list,nahrin,Nahrin,?????,?????,,baghlan,,,
district_list,pul_e_hisar,Pul-e-Hisar,?? ????,?? ????,,baghlan,,,
district_list,pul_e_khumri,Pul-e-Khumri,??????,??????,,baghlan,,,
district_list,tala_wa_barfak,Tala Wa Barfak,???? ?????,???? ?????,,baghlan,,,
district_list,balkh,Balkh,???,???,,balkh,,,
district_list,char_bolak,Char Bolak,??? ????,??? ????,,balkh,,,
district_list,charkent,Charkent,??? ???,??? ???,,balkh,,,
district_list,dehdadi,Dehdadi,??????,??????,,balkh,,,
district_list,mazar_e_sharif,Mazar-e-Sharif,???? ????,???? ????,,balkh,,,
district_list,nahr_e_shahi,Nahr-e-Shahi,??? ????,??? ????,,balkh,,,
district_list,sholgareh,Sholgareh,??????,??????,,balkh,,,
district_list,bamyan,Bamyan,??????,??????,,bamyan,,,
district_list,kahmard,Kahmard,?????,?????,,bamyan,,,
district_list,panjab,Panjab,?????,?????,,bamyan,,,
district_list,sayghan,Sayghan,?????,?????,,bamyan,,,
district_list,waras,Waras,??? (???),??? (???),,bamyan,,,
district_list,yakawlang,Yakawlang,???????,???????,,bamyan,,,
district_list,ashtarlay,Ashtarlay,??????,??????,,daykundi,,,
district_list,kajran,Kajran,?????,?????,,daykundi,,,
district_list,khadir,Khadir,????,????,,daykundi,,,
district_list,kiti,Kiti,????,????,,daykundi,,,
district_list,miramor,Miramor,???????,???????,,daykundi,,,
district_list,nili,Nili,????,????,,daykundi,,,
district_list,sang_e_takht,Sang-e-Takht,??? ???,??? ???,,daykundi,,,
district_list,shahrestan,Shahrestan,???????,???????,,daykundi,,,
district_list,anar_dara,Anar Dara,???? ???,???? ???,,farah,,,
district_list,farah,Farah,????,????,,farah,,,
district_list,gulistan,Gulistan,??????,??????,,farah,,,
district_list,khak_e_safed,Khak-e-Safed,??? ????,??? ????,,farah,,,
district_list,qala_e_kah,Qala-e-Kah,???? ???,???? ???,,farah,,,
district_list,almar,Almar,?????,?????,,faryab,,,
