type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
start,start,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,
today,today,,,,,,,,,,,,,,,,,
audit,audit,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,
select_one organisation_list,organisation,Name of organisation of enumerator/data collector,??? ?????,? ???? ?????? ? ????? ???,,,,TRUE,,,,,,,,,,
text,organisation_other,Name of organisation of enumerator/data collector,??? ?????,? ???? ?????? ? ????? ???,Please specify:,???? ???? ????,??????? ???? ???? ?? ???:,TRUE,"selected(${organisation}, ""other"")",,,,,,,,,
calculate,organisation_final,,,,,,,,,,,,,,,,"if(selected(${organisation}, ""other""), ${organisation_other}, ${organisation})",
integer,enumerator,Enumerator ID,??? ???? ?????,? ???? ?????? ???,,,,TRUE,,,,. >= 1 and . <= 50,,,,,,
begin group,A,Introduction,?????,?????????,,,,,,,,,,,,,,
select_one yn_list,consent,"My name is [[name]]. We are conducting an assessment on behalf of REACH Initiative and Norwegian Refugee Council. The objective is to learn about your access to livelihoods and housing, land, and property issues you experience, so that NGOs can provide you with better information and services. Any information that you provide will be confidential and anonymous. This is voluntary and you can choose not to answer any or all of the questions; however we hope that you will participate since your views are important.  Do you have any questions? Are you willing to be interviewed?",??? ?? {???} ???. ?? ?? ???????? ?? ????? REACH ? ????? ??????? ????? ?? ??? ?????  ?? ??????? ???????. ??? ?? ?????? ??????? ?? ???? ??????? ??? ?????? ?????? ?? ???? ????? ? ???? (??????)? ???? ??? ??? ?????? ???? ?????? ?? ???? ????? ?????? ??? ??? ????? (NGO) ???????? ????? ? ??????? ?????? ???? ??? ?? ????? ?????. ?? ??????? ?? ??? ????? ?????? ????? ???? ???? ??????. ??? ????? ??????? ? ????????? ???? ? ??? ????????? ?? ??? ???? ?????? ?????? ???????? ?? ?? ?? ??? ????? ???? ?????. ??? ???? ????? ?? ?? ??? ???? ?????? ?????? ??? ??? ??? ???? ?? ??? ? ??????? ???. ??? ???? ????? ?????? ??? ???????? ?????? ?????,??? ??? {???} ??? ??? ? REACH  ?? ? ????? ? ?????? ? ????? ?? ????????? ?????? ????? ???. ???? ?? ?? ?? ?? ????? ? ????? ?? ???????? ????? ?? ???????? ?? ??? ?? ???? ?????? ??? ?? ??? ??????? ?? ???? ???? ??? ???? ?? ??? ????? ????? ???? ?? ???? ?? ?? ??????? ?? ????? ???? ???. ??? ??????? ?? ???? ?? ???? ?? ????? ??  ?? ????  ???? ????. ?? ????? ???? ?? ?? ???? ???? ?? ????? ???? ?????? ???? ?? ???? ??? ?? ???? ?? ????? ???? ?????? ?? ?? ?? ??? ???? ??? ?? ???? ?? ???? ???? ??? ?? ????? ?????? ??? ??. ??? ???? ???? ?????? ???? ??? ???? ???? ??? ??????,,,,TRUE,,,,,,,,,,
