strata,population
recent_idps_zabul,7941
recent_idps_takhar,43759
recent_idps_sar_e_pul,10794
recent_idps_paktya,1002
recent_idps_nimroz,2120
recent_idps_nangarhar,36477
recent_idps_logar,560
recent_idps_kunduz,28984
recent_idps_kunar,39452
recent_idps_kandahar,29776
recent_idps_kabul,48436
recent_idps_jawzjan,12247
recent_idps_herat,30498
recent_idps_helmand,58423
recent_idps_ghazni,4109
recent_idps_faryab,9458
recent_idps_farah,13669
recent_idps_balkh,45904
recent_idps_baghlan,7693
recent_idps_badghis,15203
recent_idps_badakhshan,2408
non_recent_idps_zabul,27692
non_recent_idps_uruzgan,15897
non_recent_idps_takhar,11701
non_recent_idps_sar_e_pul,17135
non_recent_idps_samangan,6489
non_recent_idps_parwan,2401
non_recent_idps_panjsher,385
non_recent_idps_paktya,6348
non_recent_idps_paktika,4315
non_recent_idps_nuristan,308
non_recent_idps_nimroz,4055
non_recent_idps_nangarhar,45757
non_recent_idps_maidan_wardak,10248
non_recent_idps_logar,14400
non_recent_idps_laghman,3176
non_recent_idps_kunduz,21413
non_recent_idps_kunar,14997
non_recent_idps_khost,3379
non_recent_idps_kapisa,3003
non_recent_idps_kandahar,29537
non_recent_idps_kabul,30509
non_recent_idps_jawzjan,58128
non_recent_idps_herat,251496
non_recent_idps_helmand,107443
non_recent_idps_ghor,12885
non_recent_idps_ghazni,21154
non_recent_idps_faryab,36424
non_recent_idps_farah,16809
non_recent_idps_daykundi,5491
non_recent_idps_bamyan,5216
non_recent_idps_balkh,42142
non_recent_idps_baghlan,10570
non_recent_idps_badghis,156807
non_recent_idps_badakhshan,12894
cross_border_returnees_zabul,8529
cross_border_returnees_takhar,30699
cross_border_returnees_sar_e_pul,9169
cross_border_returnees_samangan,2441
cross_border_returnees_parwan,3954
cross_border_returnees_panjsher,116
cross_border_returnees_paktya,14662
cross_border_returnees_paktika,2919
cross_border_returnees_nimroz,1377
cross_border_returnees_nangarhar,20331
cross_border_returnees_maidan_wardak,8612
cross_border_returnees_logar,21912
cross_border_returnees_laghman,1484
cross_border_returnees_kunduz,18476
cross_border_returnees_kunar,3066
cross_border_returnees_khost,92
cross_border_returnees_kapisa,2254
cross_border_returnees_kandahar,6559
cross_border_returnees_kabul,19575
cross_border_returnees_jawzjan,23551
cross_border_returnees_herat,10163
cross_border_returnees_helmand,16497
cross_border_returnees_ghor,11674
cross_border_returnees_ghazni,2345
cross_border_returnees_faryab,37449
cross_border_returnees_farah,4238
cross_border_returnees_daykundi,6832
cross_border_returnees_bamyan,2615
cross_border_returnees_balkh,24517
cross_border_returnees_baghlan,12905
cross_border_returnees_badghis,14113
cross_border_returnees_badakhshan,11142
recent_idps_khost,555
recent_idps_bamyan,436
recent_idps_ghor,4961
recent_idps_kapisa,539
recent_idps_parwan,413
recent_idps_samangan,567
recent_idps_uruzgan,4485
recent_idps_panjsher,141
