"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","Is the interview taking place in an urban area, which is densely populated?",NA,"No","NA",0.452971622137925,NA,0.390820707711043,0.515122536564806,NA,NA
"2","Is the interview taking place in an urban area, which is densely populated?",NA,"Yes","NA",0.547028377862075,NA,0.484877463435194,0.609179292288957,NA,NA
"3","Is the interview taking place in an informal settlement, where a group of households do not have an official permission to live or build?",NA,"No","NA",0.791482914192341,NA,0.727874821362967,0.855091007021716,NA,NA
"4","Is the interview taking place in an informal settlement, where a group of households do not have an official permission to live or build?",NA,"Yes","NA",0.208517085807659,NA,0.144908992978284,0.272125178637033,NA,NA
"5","final_displacement_status_non_displ",NA,"cross_border_returnees","NA",0.189749088661481,NA,0.163165069982165,0.216333107340798,NA,NA
"6","final_displacement_status_non_displ",NA,"non_recent_idps","NA",0.541288482159404,NA,0.486463241152474,0.596113723166333,NA,NA
"7","final_displacement_status_non_displ",NA,"recent_idps","NA",0.268962429179115,NA,0.230464360572795,0.307460497785435,NA,NA
"8","Aside from your most recent displacement to your current location (either from another country or within Afghanistan), has the majority of your household been forcibly displaced before this as well?",NA,"No","NA",0.866993400119949,NA,0.846403609629482,0.887583190610416,NA,NA
"9","Aside from your most recent displacement to your current location (either from another country or within Afghanistan), has the majority of your household been forcibly displaced before this as well?",NA,"Yes","NA",0.133006599880051,NA,0.112416809389584,0.153596390370518,NA,NA
"dependent.var","How many times has your household been forcibly displaced within Afghanistan or to another country, including your most recent displacement to your current location?","na","NA","NA",0.324689402587403,NA,0.274863798432588,0.374515006742217,NA,NA
"1100","prev_displacement_num_class",NA,"2","NA",0.699381039619882,NA,0.640247807659616,0.758514271580148,NA,NA
"2100","prev_displacement_num_class",NA,"3","NA",0.212057589996561,NA,0.154079839388326,0.270035340604796,NA,NA
"399","prev_displacement_num_class",NA,"4+","NA",0.0885613703835574,NA,0.0569319985708955,0.120190742196219,NA,NA
"dependent.var1","Do you live in a community that hosts displaced households? ",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"dependent.var2","Does your household host displaced individuals within your household? ",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"dependent.var3","If yes, how many displaced individuals do you host in your household?",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"dependent.var4","How many years ago did the majority of your household members forced to leave Afghanistan the last time? ","na","NA","NA",11.0769885619537,NA,10.1129111158846,12.0410660080228,NA,NA
"1101","cb_return_displace_year_class",NA,"0","NA",0.0349309259693279,NA,0.0250180192202703,0.0448438327183855,NA,NA
"2101","cb_return_displace_year_class",NA,"1","NA",0.115415577824533,NA,0.0941269916649492,0.136704163984116,NA,NA
"3100","cb_return_displace_year_class",NA,"2","NA",0.0980665992469884,NA,0.0810309587214346,0.115102239772542,NA,NA
"410","cb_return_displace_year_class",NA,"3","NA",0.0891208290044219,NA,0.0639395027096959,0.114302155299148,NA,NA
"510","cb_return_displace_year_class",NA,"4+","NA",0.662466067954729,NA,0.619925166631843,0.705006969277615,NA,NA
"dependent.var5","How many years ago did the majority of your household leave its previous location in another country, to return to Afghanistan?","na","NA","NA",3.10193000630778,NA,2.77228193672417,3.43157807589138,NA,NA
"1102","cb_return_return_year_call",NA,"0","NA",0.139999807339413,NA,0.118344103194358,0.161655511484468,NA,NA
"2102","cb_return_return_year_call",NA,"1","NA",0.315010510138553,NA,0.281644276876138,0.348376743400968,NA,NA
"3101","cb_return_return_year_call",NA,"2","NA",0.172969186022895,NA,0.155308638649517,0.190629733396273,NA,NA
"411","cb_return_return_year_call",NA,"3","NA",0.0973073145876636,NA,0.0804671418275949,0.114147487347732,NA,NA
"511","cb_return_return_year_call",NA,"4+","NA",0.274713181911476,NA,0.237254651884625,0.312171711938326,NA,NA
"1103","Which country did the majority of your household most recently reside in, before arriving in ${survey_village}? ",NA,"Iran","NA",0.398764007344563,NA,0.359367590191072,0.438160424498054,NA,NA
